XcoordonneeLambertAbscisseEtablissement;YcoordonneeLambertAbscisseEtablissement;long;lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
891710,2445;6511846,599;5,463148;45,679267;263800146;3232;0.397459429737248;2.26960784313725;CENTRE HOSPITALIER INTERCOMMUNAL DE MORESTEL
888351,8459;6459373,052;5,399544;45,20792;353543358;805;0.394935781131911;2.26149914821124;EURIAL
882597,5207;6452671,655;5,323767;45,149156;263800211;340;0.390959280239876;2.24872231686542;CENTRE HOSPITALIER ALPES ISERE
920448,0374;6430147,125;5,794948;44,93541;753230911;1820;0.379548403667639;2.21205821205821;INOVALP
924922,5605;6440725,705;5,856479;45,029154;804384360;2033;0.378294463530208;2.20802919708029;AGS NATURE REGIE DE REMONTEES MECANIQUES
882448,7701;6448675,35;5,320381;45,113228;841530066;2145;0.378027466980361;2.20717131474104;GLENAT RENOVATION
841813,4304;6469339,748;4,80981;45,3088;397877630;1020;0.377502711735978;2.20548523206751;MEGA PRODUCTION
891710,2445;6511846,599;5,463148;45,679267;263800146;2490;0.376362283642165;2.20182094081942;CENTRE HOSPITALIER INTERCOMMUNAL DE MORESTEL
839215,4899;6479331,965;4,77954;45,399283;573680162;3431;0.375821666525315;2.20008389261745;ALTRAD PREZIOSO
847979,8425;6473872,501;4,88986;45,348303;394949028;1016;0.372917152493125;2.19075144508671;CHARPENTIERS DE SONNAY HILAIRE ET FILS
841828,8752;6476125,759;4,811994;45,369885;793565789;1986;0.372501227074175;2.18941504178273;GIMIR
846439,5646;6500142,723;4,878175;45,58512;213801103;198;0.372130207035994;2.1882229232387;COMMUNE DE CHUZELLES
940944,0768;6448284,664;6,063475;45,09176;213801913;3198;0.370990447721295;2.18456078083407;COMMUNE D HUEZ
;;;;499665818;1532;0.369055598893177;2.17834394904459;ROCAMAR
;;;;488106964;2893;0.368719479489819;2.17726396917148;SOCIETE D'ETUDES ET D'APPLICATIONS DE COMPOSANTS GUIRAUD FRERES
919767,5997;6429862,564;5,786201;44,933066;524671260;1653;0.367371354647726;2.17293233082707;DERNIER CRI
;;;;779509512;1907;0.365325427539429;2.16635859519408;MAISON FAMILIALE RURALE
878033,2622;6524616,023;5,292286;45,79791;213801905;234;0.36296295500221;2.15876777251185;COMMUNE D HIERES SUR AMBY
919743,5457;6426917,15;5,78458;44,906571;213802697;3201;0.362639569155151;2.15772870662461;COMMUNE DE LA MURE
842847,5932;6486097,07;4,827953;45,459437;377531264;846;0.36222923123086;2.15641025641026;BERT TRANSPORTS ET SERVICES
876551,4441;6444150,078;5,243785;45,074034;575780028;2967;0.361458111599508;2.15393258426966;SICAL
841047,6891;6500303,958;4,809093;45,587705;323800482;3266;0.36099047984992;2.15243004418262;ROGER MARTIN AUVERGNE RHONE ALPES
882473,1473;6453064,208;5,322332;45,152722;263800260;3242;0.359234829086541;2.14678899082569;CENTRE HOSPITALIER INTERCOMMUNAL VERCORS ISERE
849634,7398;6492367,704;4,916719;45,514437;213805443;306;0.354272468313057;2.13084450888003;COMMUNE DE VIENNE
860853,1195;6473064,809;5,053926;45,338138;356000000;821;0.351590423354816;2.12222687316869;LA POSTE
;;;;331277590;601;0.351205448773914;2.12098991750687;RAYMOLD
879973,3349;6448742,633;5,288941;45,114484;309342699;457;0.348801667526828;2.11326636647038;REFFAY
;;;;320278393;3263;0.348458673233506;2.11216429699842;SIGEDI
861141,1927;6473179,849;5,057641;45,339106;263800039;3229;0.346620432410251;2.1062578748425;CENTRE HOSPITALIER INTERCOMMUNAL DE LUZY-DUFEILLANT
;;;;432343242;1253;0.3429111449331;2.09433962264151;HOTEL CHALET DES CHAMPIONS
840447,0317;6475957,675;4,794297;45,368656;328399308;580;0.342658660450862;2.09352836879433;ATELIERS MECANIQUES PEAGEOIS
850160,6526;6492916,042;4,923624;45,519258;792009078;1976;0.341205174143164;2.08885819521179;TEAM FLUIDE
907662,9551;6427495,183;5,631856;44,915502;448611871;1372;0.340037507114641;2.08510638297872;ACCOMPAGNER HANDICAP PSYCHIQUE EN ISERE
931780,0234;6417808,531;5,932684;44,820694;351309984;3301;0.338387434244659;2.07980456026059;OBIOU SOCIETE D'ELECTRONIQUE
858913,273;6499367,555;5,037833;45,575357;839931094;2141;0.33685674689436;2.07488633324418;DHN NETTOYAGE
;;;;317220770;511;0.336523794265511;2.07381652848355;FITT FRANCE
