XcoordonneeLambertAbscisseEtablissement;YcoordonneeLambertAbscisseEtablissement;long;lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
;;;;389998501;966;0.496999304027473;2.58943781942078;NORMAND SARL
;;;;523330082;1648;0.496924036925162;2.5891959798995;NOVALYO
848670,1726;6491275,273;4,904031;45,504813;779638485;1941;0.494718014054935;2.58210784313725;OEUVRE DE SAINT JOSEPH
879256,7125;6500944,997;5,299158;45,584526;434085395;1274;0.494336607841925;2.58088235294118;SPIE CITYNETWORKS
;;;;508646130;1581;0.494061995368557;2.58;ALLIMAU
863138,579;6507079,153;5,094614;45,643779;340275924;3285;0.49221537071826;2.57406663990365;SIGMA ALDRICH CHIMIE
875169,1942;6501515,442;5,246968;45,59072;500569405;2918;0.491254075609328;2.57097791798107;DECATHLON FRANCE
877752,6124;6501303,995;5,28001;45,58815;797488723;2000;0.49112692315922;2.57056936647955;RESIDE ETUDES SENIORS
;;;;552081317;1724;0.48986915960055;2.56652806652807;ELECTRICITE DE FRANCE
;;;;414529941;1150;0.487226106299371;2.55803571428571;GABRIEL TP
;;;;433993474;1270;0.486037576267262;2.55421686746988;ORGANIS. DE LA VIE INTERCOMMUNALE VAREZE
;;;;382746105;2696;0.48443534626635;2.54906876790831;MCD MENUISERIE ESCALIER
862916,1504;6509311,954;5,092519;45,663931;542105572;2952;0.483273499989387;2.54533565823888;LAFARGE
889773,8029;6460021,773;5,417901;45,213368;384735221;935;0.479716720602629;2.53390742734123;COOPENOIX - SOCIETE COOPERATIVE AGRICOLE
841372,13;6473897,7;4,805509937;45,34992196;509022943;1585;0.473781416029766;2.51483679525223;GLACES DE LYON
;;;;320527278;538;0.472932988594157;2.5121107266436;CAP FAMILLES
863449,0132;6506818,446;5,098509;45,641358;351276738;789;0.472414584252703;2.51044504995459;S.A.SECTORIEL
;;;;957510845;2270;0.467092630060404;2.49334516415262;ARINDIS
;;;;380342808;892;0.466354885600769;2.49097472924188;AUBERT & DUVAL
895846,5319;6480820,935;5,503622;45,398857;213800139;174;0.463598616679673;2.48211860570394;COMMUNE D APPRIEU
859532,1092;6506133,578;5,048015;45,636119;449517465;1379;0.462247631787305;2.47777777777778;SOPRANZI SAS
889476,694;6499894,113;5,429745;45,572312;213804016;274;0.461532902682386;2.47548129313476;COMMUNE DE SAINT JEAN DE SOUDAIN
894202,1266;6500169,487;5,490413;45,573465;775595903;3663;0.461278750112764;2.47466467958271;ASSOCIATION FAMILIALE DE L'ISERE POUR PERSONNES HANDICAPEES
;;;;200056224;2447;0.46042145312546;2.47191011235955;COMMUNE DE AUTRANS-MEAUDRE EN  VERCORS
882697,6793;6452380,944;5,324932;45,146513;391466018;983;0.459449395015102;2.46878680800942;ORIADE NOVIALE
858934,9138;6499360,337;5,038108;45,575287;444330641;3377;0.456267631906851;2.4585635359116;ALDI MARCHE
;;;;311865307;481;0.45564997343593;2.45657894736842;SIDAS PRODUCTION
859923,2319;6473208,326;5,042105;45,339647;353593452;807;0.453821598566918;2.45070422535211;ENTREPRISE PROPONNET
;;;;673620399;3660;0.453650902091436;2.45015576323988;BIOMERIEUX SA
893034,6303;6480471,95;5,46756;45,396513;440698504;3372;0.450186513038315;2.4390243902439;SAS MIDIS
884369,8312;6474291,16;5,35451;45,343266;343262622;705;0.448477421046916;2.43353293413174;LIDL
876261,162;6479594,894;5,252947;45,393133;408203578;2747;0.438710890712693;2.40215225189318;BAGUYLED
;;;;775619588;1866;0.437570829884;2.39848914069877;VACANCES TOURISME FAMILLE
841813,4304;6469339,748;4,80981;45,3088;405198169;1093;0.436814538605248;2.39605911330049;CARMAX
;;;;500569405;1540;0.434563648904177;2.38882681564246;DECATHLON FRANCE
;;;;314925744;500;0.433896840224647;2.38668430335097;PORCHER TISSAGES
888166,3131;6499090,186;5,412637;45,565438;300821873;2526;0.432922036439693;2.38355217691776;SERGE FERRARI SAS
920861,1292;6426426,773;5,79851;44,901803;193824265;2418;0.431124884805645;2.37777777777778;COLLEGE LOUIS MAUBERRET
840522,0256;6476956,917;4,795545;45,377636;451255327;3382;0.425429218691354;2.35947712418301;SARDA
;;;;335256764;2619;0.424284601508736;2.35579937304075;SAUDIDRO
;;;;305508673;3253;0.41518763272808;2.32657004830918;SA GUY CASSET
937642,1262;6445477,03;6,020169;45,067644;403503014;1078;0.413755877020426;2.3219696969697;CHARPENTE ET MENUISERIE DE L'OISANS
860367,1864;6473409,351;5,047838;45,341353;913037289;2258;0.413726404722148;2.321875;TOVIDIS
840096,2878;6499116,545;4,796548;45,577211;485239792;2889;0.407262201576613;2.30110497237569;SARP INDUSTRIES RHONE ALPES
;;;;301012365;397;0.40624834253459;2.29784735812133;FONDATION GEORGES BOISSEL
