;;X long; Y lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
;;;;315652933;505;0.178953962662724;1.56753142551484;ALTACAN
;;5,876628;45,265292;381128859;901;0.178953962662724;1.56753142551484;CAPSYS
;;;;408814705;1110;0.178953962662724;1.56753142551484;SESAME AUTISME RHONE ALPES
;;;;438452039;1294;0.178953962662724;1.56753142551484;EUROMAG
;;5,87612;45,264088;453413692;1403;0.178953962662724;1.56753142551484;PLASMA-THERM EUROPE
;;;;498285014;1522;0.178953962662724;1.56753142551484;ETABLISSEMENT THERMAL D'URIAGE - ETU
;;5,879087;45,263903;527590871;1656;0.178953962662724;1.56753142551484;FLUID'INOX
;;;;789139789;1965;0.178953962662724;1.56753142551484;COLRUYT RETAIL FRANCE
;;;;795229301;1997;0.178953962662724;1.56753142551484;STEELMAG INTERNATIONAL
;;5,869577;45,260521;849568530;2160;0.178953962662724;1.56753142551484;SOITEC LAB
;;5,830292;45,141087;900605833;2235;0.178953962662724;1.56753142551484;BOUILLON A
;;;;200055556;2446;0.178953962662724;1.56753142551484;COMMUNE DE CRETS EN BELLEDONNE
;;5,866355;45,269465;213800394;2453;0.178953962662724;1.56753142551484;COMMUNE DE BERNIN
;;;;329746697;2601;0.178953962662724;1.56753142551484;S.N.V.A. - EUROPE AUTOCARS - ISERE - SAVOIE - GELON
;;;;393027974;2721;0.178953962662724;1.56753142551484;CASINO D'URIAGE
;;5,879398;45,263718;430115766;2799;0.178953962662724;1.56753142551484;DELTA PLUS SYSTEMS
;;5,881987;45,261319;572025526;2964;0.178953962662724;1.56753142551484;VEOLIA EAU - COMPAGNIE GENERALE DES EAUX
;;5,838232;45,152069;213804222;3209;0.178953962662724;1.56753142551484;COMMUNE DE SAINT MARTIN D URIAGE
;;5,834712;45,140949;263800278;3243;0.178953962662724;1.56753142551484;CENTRE HOSPITALIER RHUMATOLOGIQUE D URIAGE
;;5,881987;45,261319;385124862;3542;0.178953962662724;1.56753142551484;APPLIED MATERIALS FRANCE
;;5,869577;45,260521;384711909;3725;0.178953962662724;1.56753142551484;SOITEC
;;;;55503528;10;0.178870724505512;1.56726397432469;ATELIERS DU GRAND CHATELET
;;5,85796;45,230129;71501183;73;0.178870724505512;1.56726397432469;MGC METAL GLOBAL CONCEPT
;;5,958304;45,359204;356000000;814;0.178870724505512;1.56726397432469;LA POSTE
;;5,948747;45,351347;394788301;1015;0.178870724505512;1.56726397432469;FERME DES 4 SAISONS
;;;;408814705;1109;0.178870724505512;1.56726397432469;SESAME AUTISME RHONE ALPES
;;;;412390270;1138;0.178870724505512;1.56726397432469;PARETI BTP
;;5,87469;45,228506;442278370;1332;0.178870724505512;1.56726397432469;SERIAL KOMBI
;;5,86785;45,23237;494138704;1509;0.178870724505512;1.56726397432469;CSEI
;;;;702027871;1776;0.178870724505512;1.56726397432469;AREA
;;;;193822046;2412;0.178870724505512;1.56726397432469;COLLEGE LA PIERRE AIGUILLE
;;5,951021;45,358831;213805112;2474;0.178870724505512;1.56726397432469;COMMUNE DU TOUVET
;;;;420735656;2777;0.178870724505512;1.56726397432469;MAXELI
;;5,85329;45,213222;439975640;2826;0.178870724505512;1.56726397432469;FONDATION PARTAGE ET VIE
;;5,869975;45,230448;884425067;3104;0.178870724505512;1.56726397432469;REBLOCH'LOG
;;5,872335;45,228745;385031661;3621;0.178870724505512;1.56726397432469;MSEI
;;5,849909;45,238821;263800211;343;0.178704248191088;1.56672907194437;CENTRE HOSPITALIER ALPES ISERE
;;5,849909;45,238821;263800211;344;0.178704248191088;1.56672907194437;CENTRE HOSPITALIER ALPES ISERE
;;5,850585;45,239397;332627256;617;0.178704248191088;1.56672907194437;SCM VILLARBOMONT
;;5,844904;45,241675;340375559;680;0.178704248191088;1.56672907194437;TELTEC SEMI CONDUCTEUR TECHNIC
;;5,827671;45,249511;439975640;1311;0.178704248191088;1.56672907194437;FONDATION PARTAGE ET VIE
;;5,844904;45,241675;450229794;1384;0.178704248191088;1.56672907194437;IDEC HAUTES TECHNOLOGIES
;;;;481563526;1440;0.178704248191088;1.56672907194437;SYNAPCELL
;;5,850939;45,239197;797422276;1998;0.178704248191088;1.56672907194437;ASSOCIATION DE FORMATION COMPLETE DE LA PERSONNE
;;5,823091;45,241289;193818176;2381;0.178704248191088;1.56672907194437;LYCEE D'ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE DE GRENOBLE - SAINT-ISMIER
;;5,823090955;45,24128903;193818176;2382;0.178704248191088;1.56672907194437;LYCEE D'ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE AGRICOLE DE GRENOBLE - SAINT-ISMIER
;;;;300032380;2525;0.178704248191088;1.56672907194437;JAY ELECTRONIQUE
;;5,850761;45,2389;775761844;3025;0.178704248191088;1.56672907194437;OXANCE
;;5,889269;45,239506;318068509;520;0.178537771876663;1.56619416956405;CENTRE MUSICAL ACCORDS
;;5,860145;45,234089;332989953;622;0.178537771876663;1.56619416956405;ATRAL SECURITY
;;5,898781;45,259651;356000000;816;0.178537771876663;1.56619416956405;LA POSTE
;;5,867531;45,233256;423574219;1209;0.178537771876663;1.56619416956405;TRANSPORTS BREBION
;;5,871659;45,232669;442642492;1337;0.178537771876663;1.56619416956405;PAROLAI STIL'ECO
;;5,90359;45,258129;503050957;1557;0.178537771876663;1.56619416956405;BUREAU VERITAS CABLES & INSPECTIONS
;;5,871438;45,231897;533429619;1681;0.178537771876663;1.56619416956405;KEAS
;;;;790184675;1971;0.178537771876663;1.56619416956405;BUREAU VERITAS EXPLOITATION
;;5,869948;45,231777;822909826;2095;0.178537771876663;1.56619416956405;WORLD ENERGY
;;5,90359;45,258129;883544009;2195;0.178537771876663;1.56619416956405;BEFC
;;5,897348;45,245211;193817780;2376;0.178537771876663;1.56619416956405;COLLEGE BELLEDONNE
;;5,898396;45,24998;193831245;2436;0.178537771876663;1.56619416956405;LYCEE GENERAL TECHNOLOGIQUE MARIE REYNOARD
;;5,887997;45,238615;213805476;2477;0.178537771876663;1.56619416956405;COMMUNE DE VILLARD BONNOT
;;5,871971;45,233237;356500306;2682;0.178537771876663;1.56619416956405;FOURE LAGADEC
;;5,910394;45,25767;692039696;3442;0.178537771876663;1.56619416956405;AHLSTROM BRIGNOUD
;;6,010334;45,434251;59500124;34;0.178371295562239;1.56565926718374;SOCIETE DES MATERIAUX DE CONSTRUCTION DE PONTCHARRA - ETS RIGAUD
;;6,02068;45,431983;130005481;87;0.178371295562239;1.56565926718374;FRANCE TRAVAIL
;;6,010137;45,425514;311099485;473;0.178371295562239;1.56565926718374;SONOCO IPD FRANCE
;;6,014015025;45,41970901;315212571;502;0.178371295562239;1.56565926718374;ETABLISSEMENTS FUSTINONI
;;;;318893310;526;0.178371295562239;1.56565926718374;JEAN LAIN GRESIVAUDAN
;;6,009288;45,435485;339609265;662;0.178371295562239;1.56565926718374;SCP DES VETERINAIRES SOYER - BRUYERE
;;6,016684;45,432881;340148741;677;0.178371295562239;1.56565926718374;CIE FIDUCIAIRE GRESIVAUDAN
;;6,011314;45,434051;343262622;701;0.178371295562239;1.56565926718374;LIDL
;;;;350675567;784;0.178371295562239;1.56565926718374;SOC ENTREPRISE TRANSPORT TARDY
;;6,023912;45,431898;356000000;832;0.178371295562239;1.56565926718374;LA POSTE
;;;;413935776;1146;0.178371295562239;1.56565926718374;ARCELORMITTAL CENTRES DE SERVICES
;;6,003114;45,427069;441100104;1328;0.178371295562239;1.56565926718374;F.E.A
;;6,011892;45,433901;478455793;1419;0.178371295562239;1.56565926718374;BOULANGERIES BG
;;6,005688948;45,42667698;752738799;1819;0.178371295562239;1.56565926718374;TOUTENVERT ALPES
;;;;805385937;2037;0.178371295562239;1.56565926718374;CJ BOIS
;;;;323923615;2584;0.178371295562239;1.56565926718374;NORDIA
;;6,026266;45,435644;779624527;3050;0.178371295562239;1.56565926718374;ASSOCIATION MARC SIMIAN ACCUEIL DES PERSONNES AGEES
;;6,006732;45,434693;840643589;3086;0.178371295562239;1.56565926718374;PONTCHALION
;;6,016474;45,43548;193822707;3181;0.178371295562239;1.56565926718374;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE DU TERRAIL
;;6,006236;45,436244;350243689;3298;0.178371295562239;1.56565926718374;SOPODIS
;;5,896992;45,275142;200018166;152;0.177705390304541;1.56351965766248;COMMUNAUTE DE COMMUNES LE GRESIVAUDAN
;;5,896992;45,275142;200018166;153;0.177705390304541;1.56351965766248;COMMUNAUTE DE COMMUNES LE GRESIVAUDAN
;;5,893751;45,273599;317823110;516;0.177705390304541;1.56351965766248;PEQUEGNOT A & PEYSSON H NOTAIRES ASSOCIE
;;5,889551;45,267152;329844187;591;0.177705390304541;1.56351965766248;ECRIN SYSTEMS
;;5,884003;45,274118;343262622;711;0.177705390304541;1.56351965766248;LIDL
;;5,890713;45,266271;430190496;1240;0.177705390304541;1.56351965766248;ADEUNIS
;;5,885644;45,274863;438590390;1296;0.177705390304541;1.56351965766248;TECHNOLOGIES EXPERTISES RECHERCHES ANALYTIQUES EN ENVIRONNEMENT
;;;;453053654;1400;0.177705390304541;1.56351965766248;ROSSET BOULON & FILS
;;;;702027871;1780;0.177705390304541;1.56351965766248;AREA
;;5,87651;45,272763;775595846;1849;0.177705390304541;1.56351965766248;MUTUALITE FRANCAISE ISERE SERVICES SOINS ET ACCOMPAGNEMENT MUTUALISTE
;;5,889656;45,272245;811323476;2059;0.177705390304541;1.56351965766248;RDC INVEST
;;5,885948;45,273327;850743048;2163;0.177705390304541;1.56351965766248;CROLAMB
