XcoordonneeLambertAbscisseEtablissement;YcoordonneeLambertAbscisseEtablissement;long;lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
941880,804;6455694,943;6,079045;45,158104;898560784;2224;0.599802488817357;2.91975308641975;VAUJANY SERVICES
916286,1585;6432934,846;5,743452;44,961808;213802655;248;0.594804438632674;2.90369393139842;COMMUNE DE LA MOTTE D AVEILLANS
920096,42;6429801,608;5,790339;44,932413;808410054;3073;0.592823094862257;2.89732770745429;TECUMSEH LA MURE
;;;;213803406;262;0.591665328153247;2.89360770577933;COMMUNE DES ROCHES DE CONDRIEU
838922,5281;6470341,012;4,773216;45,318404;213803497;264;0.587686666989991;2.88082393330064;COMMUNE DE SABLONS
;;;;552081317;3709;0.583594600894508;2.86767578125;ELECTRICITE DE FRANCE
842386,8605;6485208,414;4,821797;45,451533;329664049;587;0.582331798239404;2.86361829025845;SIAUX SAS
;;;;337966840;645;0.580376874633454;2.85733695652174;ASPIR'ELEC
857541,3017;6492325,896;5,01794;45,512287;213802382;243;0.579490979441013;2.85449050086356;COMMUNE DE MOIDIEU DETOURBE
884930,1231;6517188,188;5,378155;45,729216;213801350;203;0.579247778507832;2.8537090758392;COMMUNE DE COURTENAY
;;;;213800261;176;0.577967436038243;2.84959522795058;COMMUNE DE LA BALME LES GROTTES
862241,3714;6510120,172;5,08413;45,671367;527813208;1657;0.577553711404328;2.84826589595376;A.S.A.P.
885827,4597;6453211,241;5,365053;45,153149;418355533;1163;0.57468228076119;2.83903974813066;ENTREPRISE BONIN SARL
852499,3814;6500726,33;4,95605;45,589049;213802150;241;0.574449482150168;2.83829174664107;COMMUNE DE LUZINAY
886386,1679;6528887,382;5,401442;45,834121;213803208;258;0.573076198210998;2.83387927000468;COMMUNE DE PORCIEU AMBLAGNIEU
877649,5838;6456878,209;5,262367;45,18831;511511016;1601;0.572948528149595;2.83346905537459;APLOMB
886680,1796;6456200,276;5,377044;45,17982;59501130;36;0.570931494131888;2.82698815566836;FROMAGERIE DU DAUPHINE
882945,6685;6448803,753;5,326745;45,114252;213804537;283;0.569480619647846;2.82232637409459;COMMUNE DE SAINT ROMANS
856840,0385;6502574,053;5,012306;45,6047;392008587;989;0.569089674379863;2.82107023411371;PHV CARRIERES ET MATERIAUX
