XcoordonneeLambertAbscisseEtablissement;YcoordonneeLambertAbscisseEtablissement;long;lat;siren;nom;PLCI norme;plci;Nom de l'Entreprise 
865804,7739;6507217,573;5,128878;45,644383;56502248;17;0.276925273701541;1.88232147633057;SAMSE
877322,0152;6501572,43;5,274589;45,590678;57502742;26;0.276176130286631;1.87991441561915;LE DAUPHINE LIBERE
868177,7743;6503467,854;5,158016;45,61005;58502329;32;0.28316813549246;1.9023803155924;SOC DAUPHINOISE POUR L HABITAT
;;;;60501657;39;0.296902431432481;1.94650976196844;GUERIPEL SAS
902075,7651;6468923,73;5,578234;45,28998;61501268;41;0.297734813004603;1.94918427387002;CONSTRUCTIONS MECANIQUES DE L ISERE
845748,2806;6494880,163;4,867716;45,537893;63200885;46;0.294571763030538;1.93902112864402;BAKER TILLY STREGO
890485,315;6472944,067;5,43203;45,329473;63501696;49;0.269766792181288;1.859320673977;SOCIETE DES CARTONNAGES D'IZEAUX
;;;;64503089;52;0.297734813004603;1.94918427387002;LELY ENVIRONNEMENT
;;;;65501496;54;0.284749660479492;1.9074618882054;SARL ENTREPRISE BOTTA
864652,1354;6473974,371;5,102722;45,345425;68502210;64;0.270182982967349;1.86065792992779;FILS DE CHARLES MURGAT
915624,1844;6482247,681;5,756892;45,405766;70500483;70;0.28541556573719;1.90960149772666;CHARTREUSE DIFFUSION
;;;;70503453;72;0.260860309359577;1.83070339663011;RELTEX
898453,2266;6465951,822;5,530832;45,264289;72500408;75;0.297734813004603;1.94918427387002;ENTREPRISE DHERBEY COUX SARL
868531,2834;6505118,604;5,16313;45,624822;85480069;81;0.28316813549246;1.9023803155924;ADIDAS FRANCE
876364,2371;6479746,266;5,254319;45,394469;130005481;84;0.268767934294741;1.85611125969511;FRANCE TRAVAIL
870277,8965;6519493,283;5,190654;45,753781;130005481;86;0.29948281430606;1.95480074886333;FRANCE TRAVAIL
890611,678;6499114,97;5,443981;45,564984;130005481;88;0.259528498844181;1.82642417758759;FRANCE TRAVAIL
877553,4715;6501382,237;5,277486;45,588906;130014764;93;0.276176130286631;1.87991441561915;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES ISERE
882280,1654;6453239,863;5,319943;45,154354;130014764;96;0.296403002489207;1.94490505482749;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES ISERE
877612,1435;6501352,044;5,278227;45,588619;130014764;97;0.276176130286631;1.87991441561915;DIRECTION DEPARTEMENTALE FINANCES PUBLIQUES ISERE
893540,6743;6480098,461;5,473875;45,393009;130025919;101;0.247770124459435;1.78864353312303;OFFICE FRANCAIS DE LA BIODIVERSITE
867019,4611;6504277,273;5,143442;45,61762;173801317;105;0.28316813549246;1.9023803155924;DIRECTION TERRITORIALE PROTECTION JUDICIAIRE JEUNESSE ISERE
877568,2634;6500907,384;5,2775;45,584628;173804311;106;0.276176130286631;1.87991441561915;DIRECTION DES SERVICES DEPARTEMENTAUX DE L'EDUCATION NATIONALE DE L'ISERE
864035,5228;6506767,077;5,106018;45,640755;176902310;109;0.276925273701541;1.88232147633057;DIRECTION REGIONALE DES DOUANES LYON
846058,5124;6493338,663;4,871222;45,52395;180035024;113;0.294571763030538;1.93902112864402;CAISSE NATIONALE DE L'ASSURANCE MALADIE
882803,2165;6476909,918;5,335504;45,367255;193112562;123;0.247136996684623;1.7866092404072;ECOLE NATIONALE DE L'AVIATION CIVILE
916401,3341;6432815,159;5,744859;44,960695;193800471;128;0.29745209029821;1.94827586206897;COLLEGE DE LA MOTTE D AVEILLANS
913686,9731;6480796,969;5,731502;45,393317;193800620;130;0.284749660479492;1.9074618882054;COLLEGE LE GRAND SOM
;;;;193800687;131;0.269766792181288;1.859320673977;COLLEGE MARCEL MARIOTTE
867369,0667;6502728,36;5,147386;45,603592;193825064;142;0.27002591479713;1.86015325670498;COLLEGE SONIA DELAUNAY
864681,9114;6505344,274;5,113824;45,627792;193827060;144;0.276925273701541;1.88232147633057;COLLEGE LES ALLINGES
869182,8254;6502616,878;5,170606;45,602142;193828647;145;0.28316813549246;1.9023803155924;COLLEGE RENE CASSIN
872252,2914;6504828,746;5,210761;45,621285;193830569;147;0.282918421020823;1.90157796202193;COLLEGE ROBERT DOISNEAU
880052,1551;6451459,175;5,290945;45,138913;193831278;149;0.296902431432481;1.94650976196844;COLLEGE OLYMPE DE GOUGES
914760,537;6482977,429;5,746183;45,412604;200040111;157;0.28541556573719;1.90960149772666;COMMUNAUTE DE COMMUNES COEUR DE CHARTREUSE
;;;;200054526;159;0.298151003790664;1.95052152982081;COMMUNE DE SAINT ANTOINE L'ABBAYE
;;;;200058444;161;0.299233099834424;1.95399839529286;COMMUNE DE LES AVENIERES VEYRINS-THUELLIN
;;;;200068542;163;0.288679346743891;1.92008830022075;CC LES BALCONS DU DAUPHINE
889416,6327;6459304,622;5,413074;45,207012;200070431;164;0.297152145904117;1.94731211553891;CC SAINT-MARCELLIN VERCORS ISERE COMMUNAUTE
;;;;200084879;165;0.270016506652924;1.86012302754747;COMMUNE DE PORTE-DES-BONNEVAUX
865371,8265;6491234,35;5,117819;45,500615;200085769;167;0.269350601395226;1.85798341802621;SYNDICAT ISEROIS DES RIVIERES-RHONE AVAL
891563,3214;6461348,078;5,441209;45,224809;213800048;171;0.298067765633452;1.95025407863065;COMMUNE DE L ALBENC
903301,4117;6502024,437;5,607803;45,587515;213800121;173;0.261026785674002;1.83123829901043;COMMUNE D AOSTE
869133,9628;6495299,076;5,167403;45,536284;213800154;175;0.270099744810137;1.86039047873763;COMMUNE D ARTAS
876892,691;6503536,731;5,269809;45,60847;213800535;180;0.276176130286631;1.87991441561915;COMMUNE DE BOURGOIN JALLIEU
880605,6735;6474837,767;5,306671;45,349186;213800584;182;0.269933268495712;1.85985557635731;COMMUNE DE BREZINS
885267,9223;6499118,941;5,375508;45,566488;213800642;185;0.261110023831214;1.83150575020059;COMMUNE DE CESSIEU
889852,1344;6485613,216;5,428925;45,443674;213800659;186;0.270016506652924;1.86012302754747;COMMUNE DE CHABONS
840739,0308;6499405,02;4,804872;45,579676;213800873;192;0.297818051161815;1.94945172506018;COMMUNE DE CHASSE SUR RHONE
872301,849;6489784,925;5,206004;45,48586;213800949;193;0.270182982967349;1.86065792992779;COMMUNE DE CHATONNAY
879472,847;6451809,488;5,283707;45,142217;213800956;194;0.296902431432481;1.94650976196844;COMMUNE DE CHATTE
902746,3633;6500808,552;5,600175;45,576737;213801046;195;0.260860309359577;1.83070339663011;COMMUNE DE CHIMILIN
891592,2923;6480561,583;5,44917;45,397724;213801186;199;0.269267363238014;1.85771596683605;COMMUNE DE COLOMBE
846001,1009;6485868,962;4,868223;45,456719;213801319;201;0.291243657188417;1.92832764505119;COMMUNE DES COTES D AREY
853192,5283;6492724,942;4,962387;45,516866;213801574;211;0.288455725642267;1.91936978683967;COMMUNE D ESTRABLIN
889260,4701;6480573,006;5,419385;45,398474;213801822;216;0.2698500303385;1.85958812516716;COMMUNE DU GRAND LEMPS
;;;;213801939;235;0.282918421020823;1.90157796202193;COMMUNE DE L ISLE D ABEAU
872995,828;6504651,752;5,220235;45,619504;213801939;236;0.270314234678438;1.86107965269913;COMMUNE DE L ISLE D ABEAU
890022,2776;6473252,923;5,426243;45,332381;213801947;237;0.269766792181288;1.859320673977;COMMUNE D IZEAUX
;;;;213801970;238;0.285582042051615;1.91013640010698;COMMUNE DE JANNEYRIAS
911681,0554;6484674,534;5,70758;45,428834;213802366;242;0.285914994680464;1.91120620486761;COMMUNE DE MIRIBEL LES ECHELLES
886623,1459;6526863,874;5,4037;45,815843;213802473;244;0.299815766934909;1.95587055362396;COMMUNE DE MONTALIEU VERCIEU
886382,7159;6525933,411;5,400241;45,807534;213802473;245;0.299815766934909;1.95587055362396;COMMUNE DE MONTALIEU VERCIEU
892190,5264;6511720,166;5,469264;45,677994;213802614;247;0.298650432733938;1.95212623696175;COMMUNE DE MORESTEL
879940,7312;6497911,596;5,30679;45,557043;213802762;250;0.284832898636705;1.90772933939556;COMMUNE DE NIVOLAS VERMELLE
;;;;213803158;255;0.260527356730728;1.82963359186948;COMMUNE DU PONT DE BEAUVOISIN
869337,4111;6519026,439;5,178395;45,749813;213803166;256;0.284916136793917;1.90799679058572;COMMUNE DE PONT DE CHERUY
849926,8401;6493805,258;4,920907;45,527314;213803182;257;0.29873367089115;1.95239368815191;COMMUNE DE PONT EVEQUE
843823,075;6487051,73;4,840716;45,467827;213803364;260;0.299732528777697;1.95560310243381;COMMUNE DE REVENTIN VAUGRIS
873369,3305;6502100,5;5,224104;45,596445;213803521;265;0.28541556573719;1.90960149772666;COMMUNE DE SAINT ALBAN DE ROCHE
897773,9913;6497261,58;5,53499;45,54627;213803570;266;0.260943547516789;1.83097084782027;COMMUNE DE SAINT ANDRE LE GAZ
893318,2951;6500126,333;5,479069;45,573327;213803778;267;0.260693833045153;1.8301684942498;COMMUNE DE SAINT CLAIR DE LA TOUR
;;;;213803844;269;0.268185267194255;1.854239101364;COMMUNE DE SAINT ETIENNE DE SAINT GEOIRS
911078,0617;6478649,956;5,697242;45,374803;213804057;275;0.285914994680464;1.91120620486761;COMMUNE DE SAINT JOSEPH DE RIVIERE
879658,5214;6444261,947;5,283292;45,074239;213804099;277;0.297818051161815;1.94945172506018;COMMUNE DE SAINT JUST DE CLAIX
920501,3891;6475308,32;5,816035;45,34177;213804420;280;0.285914994680464;1.91120620486761;COMMUNE DE SAINT PIERRE DE CHARTREUSE
899428,575;6467707,681;5,543983;45,279809;213804503;281;0.297734813004603;1.94918427387002;COMMUNE DE SAINT QUENTIN SUR ISERE
877050,3822;6472412,764;5,260402;45,328285;213804578;285;0.269766792181288;1.859320673977;COMMUNE DE SAINT SIMEON DE BRESSIEUX
886613,864;6496352,223;5,391681;45,54122;213804644;287;0.28022985409564;1.89293937068304;COMMUNE DE SAINT VICTOR DE CESSIEU
865486,2573;6512637,158;5,126664;45,693245;213804750;289;0.284250231536219;1.90585718106446;COMMUNE DE SATOLAS ET BONCE
887087,9236;6474167,949;5,389153;45,341422;213804909;293;0.270182982967349;1.86065792992779;COMMUNE DE SILLANS
890707,1691;6499269,697;5,445266;45,56635;213805096;298;0.259528498844181;1.82642417758759;COMMUNE DE LA TOUR DU PIN
870008,8533;6503721,596;5,18159;45,611881;213805302;302;0.284250231536219;1.90585718106446;COMMUNE DE VAULX MILIEU
866805,3655;6506097,273;5,141329;45,634055;213805377;303;0.202697495743993;1.64382139148494;COMMUNE DE LA VERPILLIERE
892468,4112;6508728,003;5,471629;45,650985;213805435;305;0.294356043493825;1.93832800365464;COMMUNE DE VEZERONCE CURTIN
872717,2141;6470966,007;5,204594;45,316366;213805617;309;0.269766792181288;1.859320673977;COMMUNE DE VIRIVILLE
867418,6444;6503141,643;5,148166;45,6073;243800604;312;0.28316813549246;1.9023803155924;COMMUNAUTE D'AGGLOMERATION PORTE DE L'ISERE
868247,6443;6503484,651;5,158918;45,610184;243800604;313;0.275952113501113;1.87919463087248;COMMUNAUTE D'AGGLOMERATION PORTE DE L'ISERE
873844,7734;6504895,546;5,231213;45,621483;243800604;314;0.282918421020823;1.90157796202193;COMMUNAUTE D'AGGLOMERATION PORTE DE L'ISERE
;;;;243800935;315;0.28466642232228;1.90719443701524;COMMUNAUTE DE COMMUNES LYON SAINT EXUPERY EN DAUPHINE
;;;;253800015;317;0.260111165944667;1.82829633591869;SYNDICAT DES EAUX DES ABRETS
920490,8113;6475288,496;5,815891;45,341595;253804363;322;0.285914994680464;1.91120620486761;SYND MIXTE PARC NATUREL REG CHARTREUSE
876687,1067;6478975,346;5,258162;45,387447;263800211;346;0.268767934294741;1.85611125969511;CENTRE HOSPITALIER ALPES ISERE
876687,1067;6478975,346;5,258162;45,387447;263800211;347;0.268767934294741;1.85611125969511;CENTRE HOSPITALIER ALPES ISERE
;;;;263800252;350;0.285914994680464;1.91120620486761;HOPITAL DE SAINT LAURENT DU PONT
914251,4543;6480273,809;5,73848;45,388433;263800252;351;0.284749660479492;1.9074618882054;HOPITAL DE SAINT LAURENT DU PONT
890867,3262;6499661,754;5,447474;45,569834;263800294;352;0.259528498844181;1.82642417758759;CENTRE HOSPITALIER DE LA TOUR DU PIN
874825,709;6504346,757;5,243596;45,616293;263800401;354;0.282918421020823;1.90157796202193;CENTRE EDUCATIF CAMILLE VEYRON
876776,49;6503841,244;5,268431;45,611241;263800401;355;0.276176130286631;1.87991441561915;CENTRE EDUCATIF CAMILLE VEYRON
876305,8743;6501453,579;5,261518;45,589871;263800401;356;0.276176130286631;1.87991441561915;CENTRE EDUCATIF CAMILLE VEYRON
882309,581;6453343,725;5,320356;45,155281;263800500;358;0.296403002489207;1.94490505482749;CENTRE COMMUNAL D'ACTION SOCIALE
872156,9924;6505203,247;5,209673;45,62468;263800732;363;0.282918421020823;1.90157796202193;ETABLISSEMENT PUBLIC DEPARTEMENTAL LE CHARMEYRAN
890485,8856;6499331,51;5,442455;45,566968;263810087;376;0.259528498844181;1.82642417758759;CENTRE COMMUNAL D'ACTION SOCIALE
890960,5332;6499678,311;5,448675;45,569957;263810087;377;0.259528498844181;1.82642417758759;CENTRE COMMUNAL D'ACTION SOCIALE
846371,2698;6493580,694;4,875301;45,526062;263810178;383;0.294571763030538;1.93902112864402;CTRE COM ACTION SOCIALE DE VIENNE
846526,452;6493451,192;4,877249;45,524863;300530516;389;0.294571763030538;1.93902112864402;CLAIRNET
