id;label;long;lat;PLCI norme;Plci;num
68502210;FILS DE CHARLES MUR;5,102722;45,345425;0.270182982967349;1.86065792992779;64
69502052;OGEC ASSOCIATION DE;5,732867;45,174185;0.132257356466653;1.41749130783632;65
69502052;OGEC ASSOCIATION DE;5,732867;45,174185;0.132257356466653;1.41749130783632;66
69502433;ONET SECURITE SYSTE;5,704597;45,189785;0.132257356466653;1.41749130783632;67
70500194;AUTO DAUPHINE RIVES;5,497382;45,345447;0.167550335124646;1.53089061246323;68
70500483;CHARTREUSE DIFFUSION;5,598501;45,36173;0.163471665421246;1.51778550414549;69
70500483;CHARTREUSE DIFFUSION;5,756892;45,405766;0.28541556573719;1.90960149772666;70
70502638;PAQUET JARDIN;5,767541;45,209677;0.151069179996621;1.47793527681198;71
70503453;RELTEX;;;0.260860309359577;1.83070339663011;72
71501183;MGC METAL GLOBAL CONC;5,85796;45,230129;0.178870724505512;1.56726397432469;73
72500077;COMPAGNIE INDUSTRIELLE;4,80981;45,3088;0.304144151109946;1.96977801551217;74
72500408;ENTREPRISE DHERBEY;5,530832;45,264289;0.297734813004603;1.94918427387002;75
72501018;ETABLISSEMENTS CIOLF;5,601143;45,316338;0.166634715395312;1.52794864937149;76
72503923;SOC EXPLOITATION DES ETS SILLAT;;;0.154648420756748;1.48943567798877;77
73500282;SA GOZZI SPORTS;5,590701957;45,36294498;0.163471665421246;1.51778550414549;78
73500282;SA GOZZI SPORTS;5,580227;45,38024;0.163471665421246;1.51778550414549;79
73502981;SYSTEME DE SECURITE;5,579703;45,387747;0.097891673912853;1.30707148347425;80
85480069;ADIDAS FRANCE;5,16313;45,624822;0.28316813549246;1.9023803155924;81
130005481;FRANCE TRAVAIL;5,697133;45,122155;0.153483086555776;1.48569136132656;82
130005481;FRANCE TRAVAIL;4,803428;45,363119;0.303228531380612;1.96683605242043;83
130005481;FRANCE TRAVAIL;5,254319;45,394469;0.268767934294741;1.85611125969511;84
130005481;FRANCE TRAVAIL;5,696084;45,191167;0.0299480719655663;1.08876298394712;85
130005481;FRANCE TRAVAIL;5,190654;45,753781;0.29948281430606;1.95480074886333;86
130005481;FRANCE TRAVAIL;6,02068;45,431983;0.178371295562239;1.56565926718374;87
130005481;FRANCE TRAVAIL;5,443981;45,564984;0.259528498844181;1.82642417758759;88
130014764;DIRECTION DEPARTEM;5,750745;45,196799;0.153649562870201;1.48622626370687;89
130014764;DIRECTION DEPARTEM;5,704167;45,177494;0.132257356466653;1.41749130783632;90
130014764;DIRECTION DEPARTEM;5,704167;45,177494;0.132257356466653;1.41749130783632;91
