id;label;siren;long;lat;PLCI norme;Plci
73;MGC METAL GLOBAL CONC;71501183;5,85796;45,230129;0.178870724505512;1.56726397432469
74;COMPAGNIE INDUSTRIELLE;72500077;4,80981;45,3088;0.304144151109946;1.96977801551217
75;ENTREPRISE DHERBEY;72500408;5,530832;45,264289;0.297734813004603;1.94918427387002
76;ETABLISSEMENTS CIOLF;72501018;5,601143;45,316338;0.166634715395312;1.52794864937149
77;SOC EXPLOITATION DES ETS SILLAT;72503923;;;0.154648420756748;1.48943567798877
78;SA GOZZI SPORTS;73500282;5,590701957;45,36294498;0.163471665421246;1.51778550414549
79;SA GOZZI SPORTS;73500282;5,580227;45,38024;0.163471665421246;1.51778550414549
80;SYSTEME DE SECURITE;73502981;5,579703;45,387747;0.097891673912853;1.30707148347425
81;ADIDAS FRANCE;85480069;5,16313;45,624822;0.28316813549246;1.9023803155924
82;FRANCE TRAVAIL;130005481;5,697133;45,122155;0.153483086555776;1.48569136132656
83;FRANCE TRAVAIL;130005481;4,803428;45,363119;0.303228531380612;1.96683605242043
84;FRANCE TRAVAIL;130005481;5,254319;45,394469;0.268767934294741;1.85611125969511
85;FRANCE TRAVAIL;130005481;5,696084;45,191167;0.0299480719655663;1.08876298394712
86;FRANCE TRAVAIL;130005481;5,190654;45,753781;0.29948281430606;1.95480074886333
87;FRANCE TRAVAIL;130005481;6,02068;45,431983;0.178371295562239;1.56565926718374
88;FRANCE TRAVAIL;130005481;5,443981;45,564984;0.259528498844181;1.82642417758759
89;DIRECTION DEPARTEM;130014764;5,750745;45,196799;0.153649562870201;1.48622626370687
90;DIRECTION DEPARTEM;130014764;5,704167;45,177494;0.132257356466653;1.41749130783632
91;DIRECTION DEPARTEM;130014764;5,704167;45,177494;0.132257356466653;1.41749130783632
92;DIRECTION DEPARTEM;130014764;5,704167;45,177494;0.132257356466653;1.41749130783632
93;DIRECTION DEPARTEM;130014764;5,277486;45,588906;0.276176130286631;1.87991441561915
94;DIRECTION DEPARTEM;130014764;5,704167;45,177494;0.132257356466653;1.41749130783632
95;DIRECTION DEPARTEM;130014764;5,704167;45,177494;0.132257356466653;1.41749130783632
96;DIRECTION DEPARTEM;130014764;5,319943;45,154354;0.296403002489207;1.94490505482749
97;DIRECTION DEPARTEM;130014764;5,278227;45,588619;0.276176130286631;1.87991441561915
98;DIRECTION DEPARTEM;130014764;5,714055;45,179833;0.132257356466653;1.41749130783632
99;DIRECTION DEPARTEM;130014764;5,735354;45,191668;0.132257356466653;1.41749130783632
100;DISI RHONE-ALPES;130015209;5,735531;45,159511;0.132257356466653;1.41749130783632
101;OFFICE FRANCAIS D;130025919;5,473875;45,393009;0.247770124459435;1.78864353312303
102;COUR D APPEL DE G;173801119;5,711666;45,190606;0.132257356466653;1.41749130783632
103;DIRECTION TERRITOR;173801317;5,767164;45,214716;0.154565182599536;1.48916822679861
104;DIRECTION TERRITO;173801317;5,749182;45,174181;0.132257356466653;1.41749130783632
105;DIRECTION TERRITORIA;173801317;5,143442;45,61762;0.28316813549246;1.9023803155924
106;DIRECTION DES SERVI;173804311;5,2775;45,584628;0.276176130286631;1.87991441561915
107;DIRECTION DES SE;173804311;5,753993;45,184821;0.0840080505819489;1.26246223564955
108;DIRECTION DES SER;173804311;5,735354;45,191668;0.132257356466653;1.41749130783632
109;DIRECTION REGIONA;176902310;5,106018;45,640755;0.276925273701541;1.88232147633057
110;DIRECTION REGIONA;177302320;5,716024;45,191203;0.132257356466653;1.41749130783632
111;DIRECTION REGIONA;177302320;5,670354;45,229573;0.151069179996621;1.47793527681198
112;OFFICE FRANCAIS D;180034027;5,723601;45,172735;0.132257356466653;1.41749130783632
113;CAISSE NATIONALE D;180035024;4,871222;45,52395;0.294571763030538;1.93902112864402
114;RESEAU CANOPE;180043010;5,731997;45,182548;0.132257356466653;1.41749130783632
115;METEO-FRANCE;180060030;5,762338;45,194065;0.150985941839409;1.47766782562182
116;CENTRE REGIONA;183801562;5,717891004;45,19182996;0.0415007913775804;1.12588284171167
117;CENTRE REGIONAL OE;183801562;5,73061;45,183763;0.132257356466653;1.41749130783632
118;CENTRE REGIONAL O;183801562;5,771449;45,187786;0.150985941839409;1.47766782562182
119;CENTRE REGIONAL OE;183801562;5,75391;45,192551;0.0652546182050713;1.20220588235294
120;CENTRE REGIONAL OEU;183801562;5,760319;45,189843;0.150985941839409;1.47766782562182
121;CENTRE REGIONAL;183801562;5,746239;45,196467;0.0372709642068694;1.11229205175601
122;GIP FIPAG;183830116;5,73792;45,157782;0.152400990512017;1.48221449585451
123;ECOLE NATIONALE DE;193112562;5,335504;45,367255;0.247136996684623;1.7866092404072
124;COLLEGE FLAVIUS VAUS;193800026;6,075517;45,39949;0.179037200819937;1.567798876705
125;COLLEGE DE PERANCH;193800067;5,08546;45,554795;0.336274079793874;2.07301417491308
126;COLLEGE DU TRIEVE;193800398;5,748274;44,815879;0.315631016805237;2.00668627975395
127;COLLEGE MARCEL CUY;193800448;5,634004;44,916944;0.169755092643211;1.5379746835443
128;COLLEGE DE LA MOTT;193800471;5,744859;44,960695;0.29745209029821;1.94827586206897
